XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
*down: administratively down
!down: FIB overload down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 503
The number of interface that is DOWN in Physical is 80
The number of interface that is UP in Protocol is 498
The number of interface that is DOWN in Protocol is 85
Interface                         IP Address/Mask      Physical   Protocol VPN 
Eth-Trunk22.2654                  10.11.66.194/28      up         up       l3vpn
Eth-Trunk22.2655                  10.11.66.210/28      up         up       l3vpn
Eth-Trunk22.2656                  10.11.66.226/28      up         up       l3vpn
Eth-Trunk22.2657                  10.11.66.242/28      up         up       l3vpn
Eth-Trunk22.2658                  10.11.67.2/28        up         up       l3vpn
Eth-Trunk22.2662                  10.11.73.83/28       up         up       l3vpn
Eth-Trunk22.2667                  10.11.67.18/28       up         up       l3vpn
Eth-Trunk22.2668                  10.11.67.34/28       up         up       l3vpn
Eth-Trunk22.2669                  10.11.67.50/28       up         up       l3vpn
Eth-Trunk22.2670                  10.11.67.66/28       up         up       l3vpn
Eth-Trunk22.2672                  10.11.67.82/28       up         up       l3vpn
Eth-Trunk22.2673                  10.11.67.98/28       up         up       l3vpn
Eth-Trunk22.2675                  10.11.67.114/28      up         up       l3vpn
Eth-Trunk22.2676                  10.11.67.130/28      up         up       l3vpn
Eth-Trunk22.2677                  10.11.67.146/28      up         up       l3vpn
Eth-Trunk22.2678                  10.11.67.162/28      up         up       l3vpn
Eth-Trunk22.2679                  10.11.67.178/28      up         up       l3vpn
Eth-Trunk22.2684                  10.11.69.3/28        up         up       l3vpn
Eth-Trunk22.2685                  10.11.69.19/29       up         up       l3vpn
Eth-Trunk22.2686                  10.11.74.35/27       up         up       l3vpn
Eth-Trunk22.2687                  10.11.68.3/24        up         up       l3vpn
Eth-Trunk22.2688                  10.11.71.35/28       up         up       l3vpn
Eth-Trunk22.2693                  10.11.76.163/28      up         up       l3vpn
Eth-Trunk22.2695                  10.11.76.3/28        up         up       l3vpn
Eth-Trunk22.2696                  10.11.76.67/28       up         up       l3vpn
Eth-Trunk22.2697                  10.11.76.130/27      up         up       l3vpn
Eth-Trunk22.2751                  10.11.81.65/26       up         up       l3vpn
Eth-Trunk22.2753                  10.11.80.193/26      up         up       l3vpn
Eth-Trunk22.2755                  10.11.80.65/26       up         up       l3vpn
Eth-Trunk22.2756                  10.11.81.147/28      up         up       l3vpn
Eth-Trunk22.2757                  10.11.81.163/29      up         up       l3vpn
Eth-Trunk22.2760                  10.11.82.3/24        up         up       l3vpn
Eth-Trunk22.2761                  10.11.82.131/26      up         up       l3vpn
Eth-Trunk22.2762                  10.11.82.195/26      up         up       l3vpn
Eth-Trunk22.2886                  10.10.18.129/26      up         up       l3vpn
Eth-Trunk22.2887                  10.10.18.193/26      up         up       l3vpn
Eth-Trunk22.2888                  10.8.32.2/28         up         up       l3vpn
