XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
*down: administratively down
!down: FIB overload down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 629
The number of interface that is DOWN in Physical is 83
The number of interface that is UP in Protocol is 619
The number of interface that is DOWN in Protocol is 93
Interface                         IP Address/Mask      Physical   Protocol VPN 
100GE1/0/3.541                    10.193.24.124/25     up         up       l3vpn
100GE1/0/3.542                    10.7.9.252/24        up         up       l3vpn
100GE1/0/3.543                    10.7.8.252/24        up         up       l3vpn
100GE1/0/3.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/0/5                        10.1.80.157/30       up         up       --  
100GE1/0/5.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/0/7                        10.1.80.109/30       up         up       --  
100GE1/0/7.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/0/8                        10.1.81.1/30         up         up       --  
100GE1/0/9                        10.1.80.117/30       up         up       --  
100GE1/1/0                        10.1.80.121/30       up         up       --  
100GE1/1/0.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/1/1                        10.1.80.125/30       up         up       --  
100GE1/1/1.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/1/2                        10.1.80.129/30       up         up       --  
100GE1/1/2.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/1/3                        10.1.80.133/30       up         up       --  
100GE1/1/3.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/1/4                        10.1.80.137/30       up         up       --  
100GE1/1/4.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/1/5                        10.1.80.141/30       up         up       --  
100GE1/1/5.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/1/6                        10.1.80.145/30       up         up       --  
100GE1/1/6.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/1/7                        10.1.80.149/30       up         up       --  
100GE1/1/7.4094                   128.107.204.190/16   up         up       l3vpn
100GE1/1/8                        10.1.80.153/30       up         up       --  
100GE1/1/9                        10.1.80.241/30       up         up       --  
100GE3/0/1                        10.1.80.225/30       up         up       --  
100GE3/0/1.4094                   128.107.204.190/16   up         up       l3vpn
100GE3/0/4                        10.1.80.233/30       up         up       --  
100GE3/0/7                        10.1.81.189/30       up         up       --  
100GE3/0/7.4094                   128.107.204.190/16   up         up       l3vpn
100GE3/0/10                       10.195.16.121/30     up         up       --  
100GE3/0/11                       10.1.81.197/30       up         up       --  
100GE3/0/12                       unassigned           *down      down     --  
100GE3/0/16                       10.1.81.129/30       up         up       --  
100GE3/0/18                       10.1.81.145/30       up         up       --  
100GE7/0/1                        10.1.81.185/30       up         up       --  
100GE7/0/1.4094                   128.107.204.190/16   up         up       l3vpn
100GE7/0/2                        10.1.81.177/30       up         up       --  
100GE7/0/2.4094                   128.107.204.190/16   up         up       l3vpn
100GE7/0/3                        10.1.81.169/30       up         up       --  
100GE7/0/3.4094                   128.107.204.190/16   up         up       l3vpn
100GE7/0/4                        10.1.81.161/30       up         up       --  
100GE7/0/4.4094                   128.107.204.190/16   up         up       l3vpn
100GE7/0/5                        10.1.81.153/30       up         up       --  
100GE7/0/5.4094                   128.107.204.190/16   up         up       l3vpn
100GE7/0/6                        10.1.81.205/30       up         up       --  
100GE7/0/6.4094                   128.107.204.190/16   up         up       l3vpn
100GE7/0/7                        10.1.81.213/30       up         up       --  
100GE7/0/7.4094                   128.107.204.190/16   up         up       l3vpn
100GE7/0/8                        10.1.81.221/30       up         up       --  
100GE7/0/9                        10.1.81.229/30       up         up       --  
100GE8/0/0                        10.1.80.161/30       up         up       --  
100GE8/0/0.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/0/1                        10.1.80.165/30       up         up       --  
100GE8/0/1.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/0/2                        10.1.80.169/30       up         up       --  
100GE8/0/2.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/0/3                        10.1.80.173/30       up         up       --  
100GE8/0/3.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/0/4                        10.1.80.177/30       up         up       --  
100GE8/0/4.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/0/5                        10.1.80.181/30       up         up       --  
100GE8/0/5.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/0/6                        10.1.80.185/30       up         up       --  
100GE8/0/6.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/0/7                        10.1.80.189/30       up         up       --  
100GE8/0/7.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/0/8                        10.1.80.193/30       up         up       --  
100GE8/0/9                        10.1.80.197/30       up         up       --  
100GE8/1/0                        10.1.80.201/30       up         up       --  
100GE8/1/0.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/1/1                        10.1.80.205/30       up         up       --  
100GE8/1/1.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/1/2                        10.1.80.209/30       up         up       --  
100GE8/1/2.4094                   128.107.204.190/16   up         up       l3vpn
100GE8/1/8                        10.1.80.218/30       up         up       --  
100GE8/1/8.4094                   128.107.204.190/16   up         up       l3vpn
400GE6/0/0(100M)                  unassigned           *down      down     --  
400GE6/0/8(100M)                  unassigned           *down      down     --  
400GE6/0/8.4094                   128.107.204.190/16   down       down     l3vpn
400GE6/0/9(100M)                  unassigned           *down      down     --  
400GE6/0/9.4094                   128.107.204.190/16   down       down     l3vpn
400GE6/0/12(100M)                 unassigned           *down      down     --  
400GE6/0/12.4094                  128.107.204.190/16   down       down     l3vpn
400GE6/0/13(100M)                 unassigned           *down      down     --  
400GE6/0/13.4094                  128.107.204.190/16   down       down     l3vpn
Eth-Trunk12                       unassigned           up         down     --  
Eth-Trunk12.11                    unassigned           up         down     l3vpn
Eth-Trunk12.15                    unassigned           up         down     l3vpn
Eth-Trunk12.22                    10.195.18.6/30       up         up       l3vpn
Eth-Trunk12.30                    10.195.1.6/30        up         up       l3vpn
Eth-Trunk12.40                    10.195.1.42/30       up         up       l3vpn
Eth-Trunk13                       unassigned           *down      down     --  
Eth-Trunk13.1                     172.21.1.10/30       down       down     l3vpn
Eth-Trunk21.400                   10.120.23.10/29      up         up       l3vpn
Eth-Trunk21.401                   10.120.23.17/29      up         up       l3vpn
Eth-Trunk21.700                   unassigned           up         down     l3vpn
Eth-Trunk21.1300                  10.209.0.129/26      up         up       l3vpn
Eth-Trunk21.2413                  10.1.11.2/26         up         up       l3vpn
Eth-Trunk21.2414                  10.1.4.66/27         up         up       l3vpn
Eth-Trunk21.2415                  10.1.4.98/27         up         up       l3vpn
Eth-Trunk21.2416                  10.1.4.130/27        up         up       l3vpn
Eth-Trunk21.2600                  10.11.73.2/28        up         up       l3vpn
Eth-Trunk21.2601                  10.11.73.18/28       up         up       l3vpn
Eth-Trunk21.2602                  10.11.73.34/28       up         up       l3vpn
Eth-Trunk21.2603                  10.11.73.50/28       up         up       l3vpn
Eth-Trunk21.2617                  10.11.64.1/27        up         up       l3vpn
Eth-Trunk21.2620                  10.11.64.33/27       up         up       l3vpn
Eth-Trunk21.2624                  10.11.64.65/27       up         up       l3vpn
Eth-Trunk21.2625                  10.11.64.129/27      up         up       l3vpn
Eth-Trunk21.2628                  10.11.64.97/27       up         up       l3vpn
Eth-Trunk21.2632                  10.11.73.98/28       up         up       l3vpn
Eth-Trunk21.2633                  10.11.64.193/26      up         up       l3vpn
Eth-Trunk21.2635                  10.11.65.65/26       up         up       l3vpn
Eth-Trunk21.2637                  10.11.65.193/26      up         up       l3vpn
Eth-Trunk21.2639                  10.11.73.66/28       up         up       l3vpn
Eth-Trunk21.2644                  10.11.66.65/28       up         up       l3vpn
Eth-Trunk21.2645                  10.11.66.81/28       up         up       l3vpn
Eth-Trunk21.2646                  10.11.66.97/28       up         up       l3vpn
Eth-Trunk21.2647                  10.11.66.113/28      up         up       l3vpn
Eth-Trunk21.2649                  10.11.66.129/28      up         up       l3vpn
Eth-Trunk21.2650                  10.11.66.145/28      up         up       l3vpn
Eth-Trunk21.2651                  10.11.66.161/28      up         up       l3vpn
Eth-Trunk21.2652                  10.11.66.177/28      up         up       l3vpn
Eth-Trunk21.2654                  10.11.66.193/28      up         up       l3vpn
Eth-Trunk21.2655                  10.11.66.209/28      up         up       l3vpn
Eth-Trunk21.2656                  10.11.66.225/28      up         up       l3vpn
Eth-Trunk21.2657                  10.11.66.241/28      up         up       l3vpn
Eth-Trunk21.2658                  10.11.67.1/28        up         up       l3vpn
Eth-Trunk21.2662                  10.11.73.82/28       up         up       l3vpn
Eth-Trunk21.2667                  10.11.67.17/28       up         up       l3vpn
Eth-Trunk21.2668                  10.11.67.33/28       up         up       l3vpn
Eth-Trunk21.2669                  10.11.67.49/28       up         up       l3vpn
Eth-Trunk21.2670                  10.11.67.65/28       up         up       l3vpn
Eth-Trunk21.2672                  10.11.67.81/28       up         up       l3vpn
Eth-Trunk21.2673                  10.11.67.97/28       up         up       l3vpn
Eth-Trunk21.2675                  10.11.67.113/28      up         up       l3vpn
Eth-Trunk21.2676                  10.11.67.129/28      up         up       l3vpn
Eth-Trunk21.2677                  10.11.67.145/28      up         up       l3vpn
Eth-Trunk21.2678                  10.11.67.161/28      up         up       l3vpn
Eth-Trunk21.2679                  10.11.67.177/28      up         up       l3vpn
Eth-Trunk21.2684                  10.11.69.2/28        up         up       l3vpn
Eth-Trunk21.2685                  10.11.69.18/29       up         up       l3vpn
Eth-Trunk21.2686                  10.11.74.34/27       up         up       l3vpn
Eth-Trunk21.2687                  10.11.68.2/24        up         up       l3vpn
Eth-Trunk21.2688                  10.11.71.34/28       up         up       l3vpn
Eth-Trunk21.2693                  10.11.76.162/28      up         up       l3vpn
Eth-Trunk21.2695                  10.11.76.2/28        up         up       l3vpn
Eth-Trunk21.2696                  10.11.76.66/28       up         up       l3vpn
Eth-Trunk21.2697                  10.11.76.129/27      up         up       l3vpn
Eth-Trunk21.2750                  10.11.81.1/26        up         up       l3vpn
Eth-Trunk21.2752                  10.11.80.129/26      up         up       l3vpn
Eth-Trunk21.2754                  10.11.80.1/26        up         up       l3vpn
Eth-Trunk21.2756                  10.11.81.146/28      up         up       l3vpn
Eth-Trunk21.2757                  10.11.81.162/29      up         up       l3vpn
Eth-Trunk21.2760                  10.11.82.2/24        up         up       l3vpn
Eth-Trunk21.2761                  10.11.82.130/26      up         up       l3vpn
Eth-Trunk21.2762                  10.11.82.194/26      up         up       l3vpn
Eth-Trunk21.2884                  10.10.18.1/26        up         up       l3vpn
Eth-Trunk21.2885                  10.10.18.65/26       up         up       l3vpn
Eth-Trunk21.2888                  10.8.32.1/28         up         up       l3vpn
Eth-Trunk21.2894                  10.10.2.2/25         up         up       l3vpn
Eth-Trunk21.2897                  10.10.5.2/25         up         up       l3vpn
Eth-Trunk21.2900                  10.10.16.1/28        up         up       l3vpn
Eth-Trunk21.2901                  10.10.16.17/28       up         up       l3vpn
Eth-Trunk21.2902                  10.10.16.33/28       up         up       l3vpn
Eth-Trunk21.2903                  10.10.16.49/28       up         up       l3vpn
Eth-Trunk21.2904                  10.10.16.65/28       up         up       l3vpn
Eth-Trunk21.2905                  10.10.16.81/28       up         up       l3vpn
Eth-Trunk21.2906                  10.10.16.97/28       up         up       l3vpn
Eth-Trunk21.2907                  10.10.16.113/28      up         up       l3vpn
Eth-Trunk21.2908                  10.10.16.129/28      up         up       l3vpn
Eth-Trunk21.2909                  10.10.16.145/28      up         up       l3vpn
Eth-Trunk21.2910                  10.10.16.241/28      up         up       l3vpn
Eth-Trunk21.2911                  10.8.40.1/28         up         up       l3vpn
Eth-Trunk21.3100                  10.128.3.114/29      up         up       l3vpn
Eth-Trunk21.3105                  10.128.1.2/28        up         up       l3vpn
Eth-Trunk21.3106                  10.128.2.130/29      up         up       l3vpn
Eth-Trunk21.3107                  10.128.0.113/29      up         up       l3vpn
Eth-Trunk21.3109                  10.128.0.2/27        up         up       l3vpn
Eth-Trunk21.3110                  10.128.0.129/29      up         up       l3vpn
Eth-Trunk21.3112                  10.128.0.34/28       up         up       l3vpn
Eth-Trunk21.3113                  10.128.3.34/28       up         up       l3vpn
Eth-Trunk21.3114                  10.128.3.122/29      up         up       l3vpn
Eth-Trunk21.3117                  10.128.0.50/28       up         up       l3vpn
Eth-Trunk21.3118                  10.128.0.146/29      up         up       l3vpn
Eth-Trunk21.3119                  10.128.0.154/29      up         up       l3vpn
Eth-Trunk21.3120                  10.128.3.50/28       up         up       l3vpn
Eth-Trunk21.3121                  10.128.4.2/28        up         up       l3vpn
Eth-Trunk21.3122                  10.128.4.18/28       up         up       l3vpn
Eth-Trunk21.3125                  41.242.195.130/29    up         up       l3vpn
Eth-Trunk21.3126                  10.128.2.138/29      up         up       l3vpn
Eth-Trunk21.3127                  10.128.0.162/29      up         up       l3vpn
Eth-Trunk21.3128                  10.128.0.170/29      up         up       l3vpn
Eth-Trunk21.3129                  10.128.0.178/29      up         up       l3vpn
Eth-Trunk21.3130                  10.128.3.66/28       up         up       l3vpn
Eth-Trunk21.3131                  10.128.4.34/28       up         up       l3vpn
Eth-Trunk21.3132                  10.128.4.50/28       up         up       l3vpn
Eth-Trunk21.3135                  10.128.2.146/29      up         up       l3vpn
Eth-Trunk21.3136                  10.128.0.66/28       up         up       l3vpn
Eth-Trunk21.3137                  10.128.0.82/28       up         up       l3vpn
Eth-Trunk21.3138                  10.128.0.98/28       up         up       l3vpn
Eth-Trunk21.3139                  10.128.3.82/28       up         up       l3vpn
Eth-Trunk21.3147                  10.128.1.129/28      up         up       l3vpn
Eth-Trunk21.3149                  10.128.1.161/29      up         up       l3vpn
Eth-Trunk21.3160                  10.128.1.17/28       up         up       l3vpn
Eth-Trunk21.3162                  10.128.1.81/29       up         up       l3vpn
Eth-Trunk21.3164                  10.128.1.49/28       up         up       l3vpn
Eth-Trunk21.3166                  10.128.0.193/29      up         up       l3vpn
Eth-Trunk21.3167                  10.128.0.201/29      up         up       l3vpn
Eth-Trunk21.3170                  10.128.3.98/28       up         up       l3vpn
Eth-Trunk21.3171                  10.128.3.194/28      up         up       l3vpn
Eth-Trunk21.3172                  10.128.3.210/28      up         up       l3vpn
Eth-Trunk21.3175                  10.128.8.1/29        up         up       l3vpn
Eth-Trunk21.3176                  10.128.8.9/29        up         up       l3vpn
Eth-Trunk21.3177                  10.128.8.17/29       up         up       l3vpn
Eth-Trunk21.3183                  10.128.8.33/27       up         up       l3vpn
Eth-Trunk21.3184                  10.128.8.65/27       up         up       l3vpn
Eth-Trunk21.3185                  10.128.8.97/27       up         up       l3vpn
Eth-Trunk21.3186                  10.128.8.129/27      up         up       l3vpn
Eth-Trunk21.3187                  10.128.8.161/27      up         up       l3vpn
Eth-Trunk21.3189                  10.128.8.193/27      up         up       l3vpn
Eth-Trunk21.3190                  10.128.8.225/27      up         up       l3vpn
Eth-Trunk21.3191                  10.128.9.1/27        up         up       l3vpn
Eth-Trunk21.3192                  10.128.9.33/27       up         up       l3vpn
Eth-Trunk21.3193                  10.128.9.65/27       up         up       l3vpn
Eth-Trunk21.3195                  10.128.9.97/27       up         up       l3vpn
Eth-Trunk21.3197                  10.128.9.129/27      up         up       l3vpn
Eth-Trunk21.3199                  10.128.9.161/27      up         up       l3vpn
Eth-Trunk21.3201                  10.128.9.193/27      up         up       l3vpn
Eth-Trunk21.3202                  10.128.9.225/27      up         up       l3vpn
Eth-Trunk21.3204                  10.128.10.1/27       up         up       l3vpn
Eth-Trunk21.3205                  10.128.7.2/28        up         up       l3vpn
Eth-Trunk21.3208                  10.128.7.49/28       up         up       l3vpn
Eth-Trunk21.3209                  10.128.7.18/28       up         up       l3vpn
Eth-Trunk21.3213                  10.127.0.2/24        up         up       l3vpn
Eth-Trunk21.3214                  10.127.1.2/24        up         up       l3vpn
Eth-Trunk21.3215                  10.127.2.2/24        up         up       l3vpn
Eth-Trunk21.3216                  10.127.3.2/24        up         up       l3vpn
Eth-Trunk21.3217                  10.127.4.2/24        up         up       l3vpn
Eth-Trunk21.3218                  10.127.5.2/24        up         up       l3vpn
Eth-Trunk21.3248                  10.128.3.2/28        up         up       l3vpn
Eth-Trunk21.3250                  10.128.4.65/28       up         up       l3vpn
Eth-Trunk21.3252                  10.128.4.81/28       up         up       l3vpn
Eth-Trunk21.3253                  10.128.0.185/29      up         up       l3vpn
Eth-Trunk21.3901                  10.11.104.125/26     up         up       l3vpn
Eth-Trunk21.3904                  10.11.107.126/25     up         up       l3vpn
Eth-Trunk21.3953                  10.11.32.2/29        up         up       l3vpn
Eth-Trunk21.3955                  10.11.32.9/29        up         up       l3vpn
Eth-Trunk21.3956                  10.11.32.17/29       up         up       l3vpn
Eth-Trunk21.3958                  10.11.32.25/29       up         up       l3vpn
Eth-Trunk21.3959                  10.11.32.33/29       up         up       l3vpn
Eth-Trunk21.3960                  10.11.32.41/29       up         up       l3vpn
Eth-Trunk21.3961                  10.11.32.49/29       up         up       l3vpn
Eth-Trunk21.3963                  10.11.32.57/29       up         up       l3vpn
Eth-Trunk21.4001                  10.195.2.34/28       up         up       l3vpn
Eth-Trunk21.4004                  10.11.71.2/27        up         up       l3vpn
Eth-Trunk21.4005                  10.11.70.2/24        up         up       l3vpn
Eth-Trunk22                       unassigned           *down      down     --  
Eth-Trunk24                       unassigned           down       down     --  
Eth-Trunk25                       unassigned           up         down     --  
Eth-Trunk25.40                    10.1.97.241/27       up         up       l3vpn
Eth-Trunk25.400                   10.1.25.249/30       up         up       l3vpn
Eth-Trunk25.4021                  10.120.23.2/30       up         up       l3vpn
Eth-Trunk27                       unassigned           down       down     --  
Eth-Trunk27.4022                  10.120.23.6/30       down       down     l3vpn
Eth-Trunk28.1000                  10.11.119.35/28      up         up       l3vpn
Eth-Trunk28.1001                  10.11.119.67/29      up         up       l3vpn
Eth-Trunk28.1003                  10.11.112.65/26      up         up       l3vpn
Eth-Trunk28.1005                  10.11.112.193/26     up         up       l3vpn
Eth-Trunk28.1007                  10.11.113.65/26      up         up       l3vpn
Eth-Trunk28.1009                  10.11.113.193/26     up         up       l3vpn
Eth-Trunk28.1011                  10.11.114.65/26      up         up       l3vpn
Eth-Trunk28.1013                  10.11.114.193/26     up         up       l3vpn
Eth-Trunk28.1015                  10.11.115.65/26      up         up       l3vpn
Eth-Trunk28.1017                  10.11.115.193/26     up         up       l3vpn
Eth-Trunk28.1801                  10.72.24.3/24        up         up       l3vpn
Eth-Trunk28.1803                  10.72.152.3/24       up         up       l3vpn
Eth-Trunk28.1814                  10.24.64.3/24        up         up       l3vpn
Eth-Trunk28.2413                  10.11.122.65/26      up         up       l3vpn
Eth-Trunk28.2700                  10.11.96.3/28        up         up       l3vpn
Eth-Trunk28.2721                  10.11.100.129/25     up         up       l3vpn
Eth-Trunk28.2723                  10.11.101.129/25     up         up       l3vpn
Eth-Trunk28.2725                  10.11.102.129/25     up         up       l3vpn
Eth-Trunk28.2896                  10.10.2.193/26       up         up       l3vpn
Eth-Trunk28.2897                  10.11.96.67/29       up         up       l3vpn
