XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
*down: administratively down
!down: FIB overload down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 629
The number of interface that is DOWN in Physical is 83
The number of interface that is UP in Protocol is 619
The number of interface that is DOWN in Protocol is 93
Interface                         IP Address/Mask      Physical   Protocol VPN 
Eth-Trunk28.2899                  10.10.5.193/26       up         up       l3vpn
Eth-Trunk28.3680                  192.168.18.3/27      up         up       l3vpn
Eth-Trunk28.3690                  192.168.32.3/19      up         up       l3vpn
Eth-Trunk28.3903                  10.11.103.129/25     up         up       l3vpn
Eth-Trunk28.4004                  10.11.117.3/27       up         up       l3vpn
Eth-Trunk28.4005                  10.11.116.3/24       up         up       l3vpn
Eth-Trunk28.4024                  10.11.117.35/28      up         up       l3vpn
Eth-Trunk28.4046                  172.21.1.35/29       up         up       l3vpn
Eth-Trunk28.4047                  10.195.3.254/24      up         up       l3vpn
Eth-Trunk45                       10.195.16.97/29      up         up       --  
Eth-Trunk45.90                    5.5.5.5/30           up         up       --  
Eth-Trunk49                       10.195.18.21/30      up         up       --  
Eth-Trunk49.100                   10.120.17.9/29       up         up       l3vpn
Eth-Trunk49.200                   10.120.16.25/30      up         up       l3vpn
Eth-Trunk49.1300                  10.120.16.158/30     up         up       l3vpn
Eth-Trunk49.1400                  10.120.16.146/30     up         up       l3vpn
Eth-Trunk49.1800                  10.120.17.2/30       up         up       l3vpn
Eth-Trunk49.1801                  10.193.20.50/30      up         up       l3vpn
Eth-Trunk49.3661                  10.120.16.9/30       up         up       l3vpn
Eth-Trunk49.4007                  10.120.16.21/30      up         up       l3vpn
Eth-Trunk49.4008                  10.193.16.34/30      up         up       l3vpn
Eth-Trunk49.4009                  10.120.16.162/30     up         up       l3vpn
Eth-Trunk49.4011                  10.197.0.10/30       up         up       l3vpn
Eth-Trunk49.4012                  41.242.192.34/30     up         up       l3vpn
Eth-Trunk49.4013                  10.120.17.17/29      up         up       l3vpn
Eth-Trunk49.4014                  10.120.17.33/30      up         up       l3vpn
Eth-Trunk49.4015                  10.120.17.37/30      up         up       l3vpn
Eth-Trunk55                       10.195.16.113/30     up         up       --  
Eth-Trunk100.41                   10.1.24.101/30       up         up       l3vpn
Eth-Trunk100.42                   10.1.24.105/30       up         up       l3vpn
Eth-Trunk100.43                   10.1.24.109/30       up         up       l3vpn
Eth-Trunk100.44                   10.1.24.113/30       up         up       l3vpn
Eth-Trunk100.45                   10.1.24.117/30       up         up       l3vpn
Eth-Trunk100.46                   10.1.24.121/30       up         up       l3vpn
Eth-Trunk100.47                   41.73.34.213/30      up         up       l3vpn
Eth-Trunk100.48                   10.1.24.129/30       up         up       l3vpn
Eth-Trunk100.49                   10.1.24.133/30       up         up       l3vpn
Eth-Trunk100.51                   10.1.24.137/30       up         up       l3vpn
Eth-Trunk100.52                   10.1.24.141/30       up         up       l3vpn
Eth-Trunk100.53                   10.1.24.145/30       up         up       l3vpn
Eth-Trunk100.54                   10.1.24.149/30       up         up       l3vpn
Eth-Trunk100.55                   10.1.24.153/30       up         up       l3vpn
Eth-Trunk100.56                   10.1.24.157/30       up         up       l3vpn
Eth-Trunk100.100                  10.1.25.9/30         up         up       --  
Eth-Trunk101                      10.11.118.146/30     up         up       --  
Eth-Trunk101.101                  10.1.25.14/30        up         up       --  
Eth-Trunk101.201                  10.11.118.131/29     up         up       --  
Eth-Trunk101.202                  10.11.118.139/29     up         up       --  
Eth-Trunk122                      unassigned           up         down     --  
Eth-Trunk122.41                   192.168.34.5/24      up         up       l3vpn
Eth-Trunk122.42                   10.8.35.131/25       up         up       l3vpn
Eth-Trunk122.99                   10.1.24.249/29       up         up       l3vpn
Eth-Trunk122.152                  10.193.3.126/26      up         up       l3vpn
Eth-Trunk122.180                  10.0.6.236/28        up         up       l3vpn
Eth-Trunk122.201                  10.195.2.26/29       up         up       l3vpn
Eth-Trunk122.217                  41.73.50.6/29        up         up       l3vpn
Eth-Trunk122.220                  10.120.16.61/29      up         up       l3vpn
Eth-Trunk122.222                  10.120.16.45/29      up         up       l3vpn
Eth-Trunk122.226                  10.193.17.69/29      up         up       l3vpn
Eth-Trunk122.237                  10.1.25.225/30       up         up       l3vpn
Eth-Trunk122.238                  10.1.25.229/30       up         up       l3vpn
Eth-Trunk122.250                  10.195.2.1/30        up         up       l3vpn
Eth-Trunk122.256                  10.1.81.17/28        up         up       l3vpn
Eth-Trunk122.259                  10.1.80.217/30       up         up       l3vpn
Eth-Trunk122.404                  10.1.25.26/30        up         up       l3vpn
Eth-Trunk122.405                  10.195.32.2/30       up         up       l3vpn
Eth-Trunk122.410                  10.193.20.12/28      up         up       l3vpn
Eth-Trunk122.411                  10.193.20.20/29      up         up       l3vpn
Eth-Trunk122.444                  172.21.0.30/24       up         up       l3vpn
Eth-Trunk122.500                  10.193.16.28/27      up         up       l3vpn
Eth-Trunk122.501                  10.193.0.61/27       up         up       l3vpn
Eth-Trunk122.502                  10.193.0.93/27       up         up       l3vpn
Eth-Trunk122.503                  10.193.0.98/27       up         up       l3vpn
Eth-Trunk122.504                  unassigned           up         down     --  
Eth-Trunk122.505                  10.195.0.5/29        up         up       l3vpn
Eth-Trunk122.506                  10.195.0.13/29       up         up       l3vpn
Eth-Trunk122.507                  10.195.0.21/29       up         up       l3vpn
Eth-Trunk122.508                  10.195.0.29/29       up         up       l3vpn
Eth-Trunk122.509                  10.7.5.2/27          up         up       l3vpn
Eth-Trunk122.510                  10.193.25.2/28       up         up       l3vpn
Eth-Trunk122.511                  10.7.5.34/27         up         up       l3vpn
Eth-Trunk122.523                  10.7.1.251/23        up         up       l3vpn
Eth-Trunk122.524                  10.7.2.252/24        up         up       l3vpn
Eth-Trunk122.525                  10.193.1.252/24      up         up       l3vpn
Eth-Trunk122.527                  10.193.11.252/24     up         up       l3vpn
Eth-Trunk122.528                  10.7.4.28/27         up         up       l3vpn
Eth-Trunk122.529                  10.193.4.2/28        up         up       l3vpn
Eth-Trunk122.530                  10.193.4.22/29       up         up       l3vpn
Eth-Trunk122.532                  10.193.4.46/28       up         up       l3vpn
Eth-Trunk122.533                  41.73.54.202/29      up         up       l3vpn
Eth-Trunk122.534                  10.193.13.252/24     up         up       l3vpn
Eth-Trunk122.535                  10.193.8.28/27       up         up       l3vpn
Eth-Trunk122.536                  10.193.9.252/24      up         up       l3vpn
Eth-Trunk122.537                  10.193.10.252/24     up         up       l3vpn
Eth-Trunk122.538                  10.193.4.76/28       up         up       l3vpn
Eth-Trunk122.540                  41.73.50.33/28       up         up       l3vpn
Eth-Trunk122.544                  10.20.1.252/24       up         up       l3vpn
Eth-Trunk122.545                  10.20.2.252/24       up         up       l3vpn
Eth-Trunk122.546                  10.20.3.252/24       *down      down     l3vpn
Eth-Trunk122.551                  10.7.3.2/28          up         up       l3vpn
Eth-Trunk122.552                  10.7.3.18/28         up         up       l3vpn
Eth-Trunk122.570                  10.195.16.76/29      *down      down     --  
Eth-Trunk122.579                  10.0.14.252/24       up         up       l3vpn
Eth-Trunk122.580                  unassigned           up         down     --  
Eth-Trunk122.581                  10.193.8.130/26      up         up       l3vpn
Eth-Trunk122.582                  10.193.8.66/26       up         up       l3vpn
Eth-Trunk122.584                  10.193.6.2/28        up         up       l3vpn
Eth-Trunk122.586                  10.193.6.18/29       up         up       l3vpn
Eth-Trunk122.587                  10.193.6.25/30       up         up       l3vpn
Eth-Trunk122.592                  10.193.3.194/26      up         up       l3vpn
Eth-Trunk122.595                  10.193.6.130/27      up         up       l3vpn
Eth-Trunk122.596                  10.193.6.162/28      up         up       l3vpn
Eth-Trunk122.600                  10.7.110.2/28        up         up       l3vpn
Eth-Trunk122.601                  10.195.2.66/29       up         up       l3vpn
Eth-Trunk122.602                  10.120.17.84/28      up         up       l3vpn
Eth-Trunk122.615                  10.10.14.162/30      up         up       l3vpn
Eth-Trunk122.617                  10.10.14.174/30      up         up       l3vpn
Eth-Trunk122.619                  10.10.14.186/30      up         up       l3vpn
Eth-Trunk122.621                  10.10.14.170/30      up         up       l3vpn
Eth-Trunk122.623                  10.10.14.182/30      up         up       l3vpn
